threads,run,integral,time_seconds,timestamp
25,1,5.500539,0.367043,2025-05-14T03:51:09.492616
25,2,5.500539,0.360442,2025-05-14T03:51:09.854381
25,3,5.500539,0.36311,2025-05-14T03:51:10.218777
25,4,5.500539,0.368063,2025-05-14T03:51:10.588319
25,5,5.500539,0.352073,2025-05-14T03:51:10.941825
28,1,5.500539,0.331066,2025-05-14T03:51:11.274070
28,2,5.500539,0.319262,2025-05-14T03:51:11.594778
28,3,5.500539,0.331842,2025-05-14T03:51:11.928277
28,4,5.500539,0.327872,2025-05-14T03:51:12.257410
28,5,5.500539,0.331158,2025-05-14T03:51:12.590060
30,1,5.500539,0.376441,2025-05-14T03:51:12.968022
30,2,5.500539,0.355053,2025-05-14T03:51:13.324277
30,3,5.500539,0.356794,2025-05-14T03:51:13.682399
30,4,5.500539,0.379664,2025-05-14T03:51:14.063394
30,5,5.500539,0.372402,2025-05-14T03:51:14.437133
34,1,5.500539,0.342469,2025-05-14T03:51:14.780951
34,2,5.500539,0.350258,2025-05-14T03:51:15.132416
34,3,5.500539,0.360658,2025-05-14T03:51:15.494377
34,4,5.500539,0.340874,2025-05-14T03:51:15.836358
34,5,5.500539,0.351801,2025-05-14T03:51:16.189383
37,1,5.500539,0.318897,2025-05-14T03:51:16.509618
37,2,5.500539,0.320086,2025-05-14T03:51:16.831109
37,3,5.500539,0.3174,2025-05-14T03:51:17.149826
37,4,5.500539,0.321963,2025-05-14T03:51:17.473096
37,5,5.500539,0.316935,2025-05-14T03:51:17.791303
41,1,5.500539,0.405189,2025-05-14T03:51:18.197742
41,2,5.500539,0.403021,2025-05-14T03:51:18.602126
41,3,5.500539,0.409217,2025-05-14T03:51:19.012872
41,4,5.500539,0.398748,2025-05-14T03:51:19.413164
41,5,5.500539,0.401036,2025-05-14T03:51:19.815382
45,1,5.500539,0.313299,2025-05-14T03:51:20.130005
45,2,5.500539,0.315907,2025-05-14T03:51:20.447143
45,3,5.500539,0.317012,2025-05-14T03:51:20.765439
45,4,5.500539,0.312343,2025-05-14T03:51:21.078944
45,5,5.500539,0.31202,2025-05-14T03:51:21.392161
50,1,5.500539,0.36472,2025-05-14T03:51:21.758328
50,2,5.500539,0.342611,2025-05-14T03:51:22.102410
50,3,5.500539,0.362649,2025-05-14T03:51:22.466388
50,4,5.500539,0.3621,2025-05-14T03:51:22.829949
50,5,5.500539,0.353522,2025-05-14T03:51:23.184695
55,1,5.500539,0.31749,2025-05-14T03:51:23.503469
55,2,5.500539,0.323117,2025-05-14T03:51:23.827898
55,3,5.500539,0.321441,2025-05-14T03:51:24.150558
55,4,5.500539,0.319746,2025-05-14T03:51:24.471614
55,5,5.500539,0.318525,2025-05-14T03:51:24.791429
61,1,5.500539,0.38443,2025-05-14T03:51:25.177131
61,2,5.500539,0.379954,2025-05-14T03:51:25.558458
61,3,5.500539,0.375266,2025-05-14T03:51:25.935117
61,4,5.500539,0.385149,2025-05-14T03:51:26.321616
61,5,5.500539,0.366811,2025-05-14T03:51:26.690004
67,1,5.500539,0.386738,2025-05-14T03:51:27.078205
67,2,5.500539,0.373405,2025-05-14T03:51:27.453245
67,3,5.500539,0.401244,2025-05-14T03:51:27.856108
67,4,5.500539,0.392368,2025-05-14T03:51:28.250231
67,5,5.500539,0.383563,2025-05-14T03:51:28.635311
74,1,5.500539,0.306846,2025-05-14T03:51:28.943715
74,2,5.500539,0.302085,2025-05-14T03:51:29.247333
74,3,5.500539,0.304868,2025-05-14T03:51:29.553731
74,4,5.500539,0.302821,2025-05-14T03:51:29.858239
74,5,5.500539,0.30422,2025-05-14T03:51:30.163827
82,1,5.500539,0.387524,2025-05-14T03:51:30.552555
82,2,5.500539,0.391338,2025-05-14T03:51:30.945413
82,3,5.500539,0.380043,2025-05-14T03:51:31.327114
82,4,5.500539,0.389971,2025-05-14T03:51:31.718422
82,5,5.500539,0.393118,2025-05-14T03:51:32.112837
90,1,5.500539,0.280935,2025-05-14T03:51:32.395254
90,2,5.500539,0.28589,2025-05-14T03:51:32.682498
90,3,5.500539,0.295435,2025-05-14T03:51:32.979377
90,4,5.500539,0.292181,2025-05-14T03:51:33.273221
90,5,5.500539,0.298505,2025-05-14T03:51:33.573349
100,1,5.500539,0.331071,2025-05-14T03:51:33.905894
100,2,5.500539,0.353152,2025-05-14T03:51:34.260540
100,3,5.500539,0.35875,2025-05-14T03:51:34.620603
100,4,5.500539,0.350776,2025-05-14T03:51:34.972692
100,5,5.500539,0.354313,2025-05-14T03:51:35.328511
110,1,5.500539,0.288622,2025-05-14T03:51:35.618425
110,2,5.500539,0.300643,2025-05-14T03:51:35.920457
110,3,5.500539,0.301254,2025-05-14T03:51:36.223338
110,4,5.500539,0.292906,2025-05-14T03:51:36.517620
110,5,5.500539,0.30519,2025-05-14T03:51:36.824322
121,1,5.500539,0.35885,2025-05-14T03:51:37.184751
121,2,5.500539,0.324653,2025-05-14T03:51:37.511044
121,3,5.500539,0.348468,2025-05-14T03:51:37.861044
121,4,5.500539,0.35607,2025-05-14T03:51:38.218506
121,5,5.500539,0.346896,2025-05-14T03:51:38.566983
134,1,5.500539,0.383862,2025-05-14T03:51:38.952278
134,2,5.500539,0.390899,2025-05-14T03:51:39.344522
134,3,5.500539,0.375466,2025-05-14T03:51:39.721588
134,4,5.500539,0.383875,2025-05-14T03:51:40.106994
134,5,5.500539,0.395068,2025-05-14T03:51:40.503631
148,1,5.500539,0.281915,2025-05-14T03:51:40.787048
148,2,5.500539,0.277402,2025-05-14T03:51:41.065767
148,3,5.500539,0.283485,2025-05-14T03:51:41.350661
148,4,5.500539,0.285427,2025-05-14T03:51:41.637559
148,5,5.500539,0.283906,2025-05-14T03:51:41.922883
163,1,5.500539,0.340603,2025-05-14T03:51:42.265009
